subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7765619544969592,0.775,0.7748592870544091,0.7756892230576441,0.775,0.55
B62,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7244726233806896,0.70625,0.7062385249423806,0.7062822315986873,0.70625,0.4125
B63,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7561333059764926,0.70625,0.7061466921964753,0.7065404475043029,0.70625,0.4125
B64,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7140618019086961,0.65,0.6444444444444444,0.6599999999999999,0.65,0.30000000000000004
B65,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7281223449447749,0.8125,0.8123827392120075,0.8132832080200502,0.8125,0.625
B66,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7371303395399781,0.8125,0.8100965342617503,0.8291639236339696,0.8125,0.625
B67,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7279948412814726,0.875,0.87468671679198,0.8787878787878788,0.875,0.75
B68,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.7265618324263488,0.5875,0.585166561910748,0.5895140664961637,0.5874999999999999,0.17500000000000004
B69,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7187252785889384,0.70625,0.7011009976549147,0.721513676791408,0.70625,0.4125
B70,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7452621245900679,0.675,0.6724925208628563,0.680528691166989,0.675,0.35
B71,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7249892573928669,0.64375,0.6430668075613479,0.6448590773106597,0.64375,0.2875
B72,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.7265564917197888,0.70625,0.702048417132216,0.7185792349726776,0.70625,0.4125
B73,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7171702374412501,0.66875,0.6540328831953001,0.703351534550932,0.66875,0.3375
B74,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7545526717557252,0.54375,0.5149300220108808,0.5573888091822095,0.54375,0.08750000000000002
B75,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.7265618324263488,0.75625,0.7557825525419749,0.7582270508581326,0.7562500000000001,0.5125
B76,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7484221449063053,0.79375,0.7935483870967742,0.7949019607843137,0.79375,0.5875
B77,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7421868705734145,0.73125,0.7309872922776148,0.7321568627450981,0.73125,0.4625
B78,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7390465726667887,0.68125,0.6812375483417321,0.6812783247382403,0.68125,0.36250000000000004
B79,"{""C"": 100.0, ""gamma"": ""scale""}",0.7202790372871755,0.85,0.8476190476190477,0.8733333333333333,0.85,0.7
B80,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.725,0.5625,0.5363470773306839,0.5807102502017756,0.5625,0.125
B81,"{""C"": 100.0, ""gamma"": ""scale""}",0.7265618324263488,0.7,0.6961544548188004,0.7106649111257406,0.7,0.4
